Measure,sex,Age,Year,No. of deaths,Upper bound,Lower Bound
Deaths,Female,90-94,2000,1156.101684083758,1465.0403027808047,843.9396169682351
Deaths,Male,50-74,2000,14687.749151278931,20446.500537255797,9650.325867604506
Deaths,Female,50-74,2000,9520.266536773956,13564.455786675717,6271.81710196377
Deaths,Male,10-24,2000,143.73904312458222,208.81627043833765,86.61977207216361
Deaths,Female,10-24,2000,148.48405372469853,239.3438948063418,82.28283442294273
Deaths,Male,10-19,2000,55.80035277018744,85.43730332591906,32.038273248097966
Deaths,Female,10-19,2000,66.40150705462739,108.32817775386476,37.30120523980647
Deaths,Male,10 - 54,2000,4037.416486808369,5671.898301204941,2650.604025219684
Deaths,Female,10 - 54,2000,2247.425645074507,3419.844355225207,1325.9637785928974
Deaths,Male,15-39,2000,766.1693119152839,1062.513596818577,514.572863951105
Deaths,Female,15-39,2000,514.5272526839018,810.7950389767165,290.6402249749285
Deaths,Male,65-74,2000,8087.963847408951,11279.98762636471,5477.162823402653
Deaths,Female,65-74,2000,5626.670948241104,7696.764393502612,3820.006762273771
Deaths,Male,95+,2000,181.9516280242153,236.47792210031568,134.52592746377647
Deaths,Female,95+,2000,411.5603026219185,542.1732299325475,297.5410625240012
Deaths,Male,75-84,2000,6109.284233194231,8212.583852051475,4455.624218428573
Deaths,Female,75-84,2000,8721.4928915066,11240.156103097104,6300.251033037511
Deaths,Male,20-54,2000,3981.616134038181,5589.469276314353,2607.24743538032
Deaths,Female,20-54,2000,2181.024138019877,3302.391176078503,1286.320392809885
Deaths,Male,15-19,2004,63.43954710519069,90.63561175150006,38.71167930620792
Deaths,Female,15-19,2004,67.25771802812895,109.55205352087718,39.65785915875464
Deaths,Male,20-24,2004,98.97740835424491,141.48744832470163,62.24434741570656
Deaths,Female,20-24,2004,85.48160424976179,142.18347464642142,48.601737596405926
Deaths,Male,25-29,2004,82.0824859975967,112.18749038258142,55.93013910066367
Deaths,Female,25-29,2004,44.68658044634656,76.49100401079599,24.872171433952712
Deaths,Male,30-34,2004,199.58622143887712,262.3726554109108,137.86601626847772
Deaths,Female,30-34,2004,156.48657931202033,259.146996785575,91.74297586019256
Deaths,Male,35-39,2004,405.0430131637793,554.1087654203781,288.43306096661604
Deaths,Female,35-39,2004,189.4530410841623,300.0223389973468,116.09482062589612
Deaths,Male,40-44,2004,710.5008259026333,1002.0442600761024,488.1792019475851
Deaths,Female,40-44,2004,332.4828651345678,521.071537990846,208.7269286219385
Deaths,Male,45-49,2004,1056.1766013800554,1485.2707487683183,698.0288280106413
Deaths,Female,45-49,2004,633.3101991743682,1003.5175447029386,386.2247487312938
Deaths,Male,50-54,2004,1657.2864591654316,2373.6442193089183,1095.5443631705248
Deaths,Female,50-54,2004,1015.9977617015212,1572.1571225114928,640.8723580197278
Deaths,Male,55-59,2004,2019.1425790722844,2796.7219661085323,1325.708495144689
Deaths,Female,55-59,2004,985.2450171126673,1542.6979357939715,611.6555447168985
Deaths,Male,60-64,2004,2865.7225903398503,3980.322013817357,1932.7164986957437
Deaths,Female,60-64,2004,2113.2734700113306,3168.556764975298,1398.1947160515065
Deaths,Male,65-69,2004,3800.425529304756,5146.5274563684725,2599.031883834554
Deaths,Female,65-69,2004,2512.2334679348837,3617.5498913931033,1732.709849402197
Deaths,Male,70-74,2004,4291.75516555273,5712.41346981051,3052.8855204840684
Deaths,Female,70-74,2004,2999.459382811788,4085.493601773118,2181.229572399473
Deaths,Male,75-79,2004,3808.6875750291,4946.282485260827,2790.5754844251624
Deaths,Female,75-79,2004,3900.695470594676,5158.803002483214,2937.521076212812
Deaths,Male,15-49,2004,2615.8061033423774,3631.43634224594,1797.3680952321558
Deaths,Female,15-49,2004,1509.1585874293553,2391.3574216199995,943.9298878787796
Deaths,Male,50-69,2004,10342.577157882326,14247.1888826399,6992.474917486628
Deaths,Female,50-69,2004,6626.7497167604015,9822.861819312377,4360.802923033205
Deaths,Male,80-84,2004,3049.0194452699434,3835.4277633521297,2322.992770706199
Deaths,Female,80-84,2004,4109.613536886752,5210.169064527856,3120.3532519919927
Deaths,Male,85-89,2004,1754.1281210081706,2175.7186034049,1380.1416134472297
Deaths,Female,85-89,2004,2964.507239900572,3738.221457909703,2286.8552672539345
Deaths,Male,90-94,2004,666.1028360094407,819.3526221178372,527.2945648778887
Deaths,Female,90-94,2004,1265.0813084665722,1573.7632717618146,946.5156564603088
Deaths,Male,50-74,2004,14634.332323435056,19949.8811047528,10055.571999388603
Deaths,Female,50-74,2004,9626.209099572176,13987.006595634566,6539.482569932529
Deaths,Male,10-24,2004,162.41695545943537,232.82274011641672,101.90793033242949
Deaths,Female,10-24,2004,152.73932227789072,251.9350773992008,91.22638332943006
Deaths,Male,10-19,2004,63.43954710519069,90.63561175150006,38.71167930620792
Deaths,Female,10-19,2004,67.25771802812895,109.55205352087718,39.65785915875464
Deaths,Male,10 - 54,2004,4273.092562507812,5918.922581158234,2903.9632893995254
Deaths,Female,10 - 54,2004,2525.156349130878,3957.3065195692393,1566.650653037396
Deaths,Male,15-39,2004,849.1286760596885,1135.0927524373813,592.1137071396968
Deaths,Female,15-39,2004,543.3655231204202,887.2432206840837,327.08044708695667
Deaths,Male,65-74,2004,8092.18069485749,10755.834712824402,5676.319215462565
Deaths,Female,65-74,2004,5511.692850746666,7692.959264587761,3939.736142429586
Deaths,Male,95+,2004,209.8321782949649,259.84708026322807,161.07897659882082
Deaths,Female,95+,2004,455.6258778624013,581.4881231944102,340.80142173076035
Deaths,Male,75-84,2004,6857.707020299038,8732.26657028001,5139.673412009491
Deaths,Female,75-84,2004,8010.309007481421,10314.517187423617,6102.102757824678
Deaths,Male,20-54,2004,4209.65301540262,5837.371013836852,2863.5147238877807
Deaths,Female,20-54,2004,2457.898631102746,3839.922398419652,1522.4189929481945
Deaths,Male,15-19,2001,59.401362270553065,93.35747808585047,35.15700485601352
Deaths,Female,15-19,2001,69.19979528767142,119.15884836039844,39.925335680795904
Deaths,Male,20-24,2001,93.36817462787698,136.38520625991433,58.48712844517194
Deaths,Female,20-24,2001,86.5142919947358,150.0959336563751,50.53668114661688
Deaths,Male,25-29,2001,76.36754767759135,109.08001203550592,51.2957689051557
Deaths,Female,25-29,2001,43.85155403506514,78.4120114578452,24.120948753558345
Deaths,Male,30-34,2001,190.0067214098444,261.50317709653496,129.31922460103638
Deaths,Female,30-34,2001,156.80404592024735,260.5447171115295,91.7363184008794
Deaths,Male,35-39,2001,388.1439202478222,553.3613189885986,263.71195897210265
Deaths,Female,35-39,2001,183.7445498536635,307.1796801377171,107.48435765425056
Deaths,Male,40-44,2001,710.3455546319326,1018.7076992892394,466.4890977934856
Deaths,Female,40-44,2001,327.28051882151885,535.8163228141226,200.98244984873352
Deaths,Male,45-49,2001,1042.2832927879374,1533.8104812009228,680.4060571846959
Deaths,Female,45-49,2001,601.1688678030558,981.6473989769712,375.7486761554948
Deaths,Male,50-54,2001,1660.4475600941507,2437.470831565901,1066.7865229857648
Deaths,Female,50-54,2001,910.0196717167412,1428.187448398631,561.2374981477603
Deaths,Male,55-59,2001,2264.6750104386733,3275.5560831794496,1456.8201038251862
Deaths,Female,55-59,2001,1191.0384211647024,1904.6322067507992,735.210263147923
Deaths,Male,60-64,2001,2840.103790194459,4100.306406304433,1871.843212980659
Deaths,Female,60-64,2001,1907.342831182468,2922.505213619484,1285.4599072053768
Deaths,Male,65-69,2001,3920.7393501544766,5542.726937498842,2658.480450723506
Deaths,Female,65-69,2001,2483.1634622414567,3655.2873889704256,1673.6592543010684
Deaths,Male,70-74,2001,4438.141078916492,6162.987202759518,3048.9611006132486
Deaths,Female,70-74,2001,3057.177694310446,4310.874622942768,2235.804131342902
